year,district,contact_type_cd,sex_code_cd,race_code_cd,age_group,count
2016,6,INVSTG,F,WHT,30-40,8
2016,6,INVSTG,F,WHT,40-50,6
2016,6,INVSTG,F,WHT,50-60,1
2016,6,INVSTG,F,WHT,Juvenile,2
2016,6,INVSTG,F,WWH,19-30,3
2016,6,INVSTG,F,WWH,30-40,1
2016,6,INVSTG,F,WWH,50-60,1
2016,6,INVSTG,F,WWH,Juvenile,3
2016,6,INVSTG,M,API,19-30,13
2016,6,INVSTG,M,API,30-40,3
2016,6,INVSTG,M,API,40-50,2
2016,6,INVSTG,M,API,50-60,2
2016,6,INVSTG,M,API,60 or older,2
2016,6,INVSTG,M,API,Juvenile,5
2016,6,INVSTG,M,BLK,19-30,1523
2016,6,INVSTG,M,BLK,30-40,537
2016,6,INVSTG,M,BLK,40-50,340
2016,6,INVSTG,M,BLK,50-60,353
2016,6,INVSTG,M,BLK,60 or older,83
2016,6,INVSTG,M,BLK,Juvenile,847
2016,6,INVSTG,M,I,19-30,4
2016,6,INVSTG,M,I,Juvenile,3
2016,6,INVSTG,M,P,19-30,1
2016,6,INVSTG,M,P,30-40,1
2016,6,INVSTG,M,P,50-60,1
2016,6,INVSTG,M,WHT,19-30,21
2016,6,INVSTG,M,WHT,30-40,8
2016,6,INVSTG,M,WHT,40-50,3
2016,6,INVSTG,M,WHT,50-60,3
2016,6,INVSTG,M,WHT,Juvenile,8
2016,6,INVSTG,M,WWH,19-30,11
2016,6,INVSTG,M,WWH,30-40,8
2016,6,INVSTG,M,WWH,40-50,8
2016,6,INVSTG,M,WWH,50-60,1
2016,6,INVSTG,M,WWH,Juvenile,6
2016,6,INVSTG,X,BLK,19-30,2
2016,6,INVSTG,X,WHT,Juvenile,3
2016,7,GANGLTR,F,BLK,19-30,2
2016,7,GANGLTR,F,BLK,30-40,3
2016,7,GANGLTR,F,BLK,40-50,5
2016,7,GANGLTR,F,BLK,50-60,1
2016,7,GANGLTR,F,WHT,40-50,3
2016,7,GANGLTR,M,API,19-30,1
2016,7,GANGLTR,M,API,Juvenile,1
2016,7,GANGLTR,M,BLK,19-30,56
2016,7,GANGLTR,M,BLK,30-40,33
2016,7,GANGLTR,M,BLK,40-50,12
2016,7,GANGLTR,M,BLK,50-60,11
2016,7,GANGLTR,M,BLK,Juvenile,28
2016,7,GANGLTR,M,WWH,19-30,1
2016,7,GANGLTR,M,WWH,40-50,1
2016,7,INVSTG,F,API,19-30,4
2016,7,INVSTG,F,API,30-40,1
2016,7,INVSTG,F,API,50-60,1
2016,7,INVSTG,F,API,Juvenile,1
2016,7,INVSTG,F,BLK,19-30,404
2016,7,INVSTG,F,BLK,30-40,165
2016,7,INVSTG,F,BLK,40-50,107
2016,7,INVSTG,F,BLK,50-60,67
2016,7,INVSTG,F,BLK,60 or older,19
2016,7,INVSTG,F,BLK,Juvenile,206
2016,7,INVSTG,F,I,19-30,2
2016,7,INVSTG,F,I,40-50,1
2016,7,INVSTG,F,I,50-60,1
2016,7,INVSTG,F,WHI,19-30,2
2016,7,INVSTG,F,WHT,19-30,13
2016,7,INVSTG,F,WHT,30-40,7
2016,7,INVSTG,F,WHT,40-50,9
2016,7,INVSTG,F,WHT,50-60,2
2016,7,INVSTG,F,WHT,Juvenile,5
2016,7,INVSTG,F,WWH,19-30,13
2016,7,INVSTG,F,WWH,30-40,5
2016,7,INVSTG,F,WWH,Juvenile,1
2016,7,INVSTG,M,API,19-30,14
2016,7,INVSTG,M,API,30-40,3
2016,7,INVSTG,M,API,40-50,7
2016,7,INVSTG,M,API,50-60,6
2016,7,INVSTG,M,API,Juvenile,13
2016,7,INVSTG,M,BLK,19-30,3172
2016,7,INVSTG,M,BLK,30-40,1010
2016,7,INVSTG,M,BLK,40-50,635
2016,7,INVSTG,M,BLK,50-60,587
2016,7,INVSTG,M,BLK,60 or older,139
2016,7,INVSTG,M,BLK,Juvenile,1392
2016,7,INVSTG,M,I,19-30,2
2016,7,INVSTG,M,I,30-40,3
2016,7,INVSTG,M,I,50-60,1
2016,7,INVSTG,M,I,Juvenile,2
2016,7,INVSTG,M,P,19-30,2
2016,7,INVSTG,M,P,30-40,1
2016,7,INVSTG,M,WHT,19-30,24
2016,7,INVSTG,M,WHT,30-40,15
2016,7,INVSTG,M,WHT,40-50,12
2016,7,INVSTG,M,WHT,50-60,4
2016,7,INVSTG,M,WHT,60 or older,2
2016,7,INVSTG,M,WHT,Juvenile,5
2016,7,INVSTG,M,WWH,19-30,53
2016,7,INVSTG,M,WWH,30-40,24
2016,7,INVSTG,M,WWH,40-50,8
2016,7,INVSTG,M,WWH,50-60,3
2016,7,INVSTG,M,WWH,60 or older,2
2016,7,INVSTG,M,WWH,Juvenile,15
2016,7,INVSTG,X,BLK,19-30,1
2016,7,INVSTG,X,BLK,30-40,1
2016,7,INVSTG,X,BLK,50-60,1
2016,7,INVSTG,X,BLK,Juvenile,2
2016,8,GANGLTR,F,BLK,19-30,2
2016,8,GANGLTR,F,BLK,40-50,1
2016,8,GANGLTR,F,BLK,50-60,1
2016,8,GANGLTR,F,WHT,19-30,3
2016,8,GANGLTR,F,WHT,30-40,1
2016,8,GANGLTR,F,WWH,19-30,1
2016,8,GANGLTR,F,WWH,Juvenile,1
2016,8,GANGLTR,M,API,19-30,1
2016,8,GANGLTR,M,BLK,19-30,209
2016,8,GANGLTR,M,BLK,30-40,34
2016,8,GANGLTR,M,BLK,40-50,12
2016,8,GANGLTR,M,BLK,50-60,8
2016,8,GANGLTR,M,BLK,60 or older,6
2016,8,GANGLTR,M,BLK,Juvenile,153
2016,8,GANGLTR,M,WHT,19-30,5
2016,8,GANGLTR,M,WHT,30-40,4
2016,8,GANGLTR,M,WHT,40-50,1
2016,8,GANGLTR,M,WHT,50-60,1
2016,8,GANGLTR,M,WWH,19-30,17
2016,8,GANGLTR,M,WWH,30-40,1
2016,8,GANGLTR,M,WWH,40-50,1
2016,8,GANGLTR,M,WWH,Juvenile,16
2016,8,INVSTG,F,API,19-30,1
2016,8,INVSTG,F,API,Juvenile,2
2016,8,INVSTG,F,BLK,19-30,109
2016,8,INVSTG,F,BLK,30-40,42
2016,8,INVSTG,F,BLK,40-50,29
2016,8,INVSTG,F,BLK,50-60,15
2016,8,INVSTG,F,BLK,60 or older,5
2016,8,INVSTG,F,BLK,Juvenile,155
2016,8,INVSTG,F,I,30-40,1
2016,8,INVSTG,F,WHI,30-40,1
2016,8,INVSTG,F,WHI,50-60,1
2016,8,INVSTG,F,WHT,19-30,55
2016,8,INVSTG,F,WHT,30-40,42
2016,8,INVSTG,F,WHT,40-50,28
2016,8,INVSTG,F,WHT,50-60,11
2016,8,INVSTG,F,WHT,60 or older,5
2016,8,INVSTG,F,WHT,Juvenile,35
2016,8,INVSTG,F,WWH,19-30,105
2016,8,INVSTG,F,WWH,30-40,44
2016,8,INVSTG,F,WWH,40-50,15
2016,8,INVSTG,F,WWH,50-60,10
2016,8,INVSTG,F,WWH,60 or older,2
2016,8,INVSTG,F,WWH,Juvenile,307
2016,8,INVSTG,M,API,19-30,4
2016,8,INVSTG,M,API,30-40,1
2016,8,INVSTG,M,API,40-50,4
2016,8,INVSTG,M,API,50-60,1
2016,8,INVSTG,M,API,Juvenile,4
2016,8,INVSTG,M,BLK,19-30,985
2016,8,INVSTG,M,BLK,30-40,335
2016,8,INVSTG,M,BLK,40-50,182
