year,district,contact_type_cd,count,age_group,a_count,race_code_cd,r_count,sex_code_cd,s_count
2016,3,INVSTG,4327,30-40,652,WHT,50,M,3724
2016,3,INVSTG,4327,30-40,652,WHT,50,X,4
2016,3,INVSTG,4327,30-40,652,WWH,30,F,599
2016,3,INVSTG,4327,30-40,652,WWH,30,M,3724
2016,3,INVSTG,4327,30-40,652,WWH,30,X,4
2016,3,INVSTG,4327,40-50,416,API,33,F,599
2016,3,INVSTG,4327,40-50,416,API,33,M,3724
2016,3,INVSTG,4327,40-50,416,API,33,X,4
2016,3,INVSTG,4327,40-50,416,BLK,4206,F,599
2016,3,INVSTG,4327,40-50,416,BLK,4206,M,3724
2016,3,INVSTG,4327,40-50,416,BLK,4206,X,4
2016,3,INVSTG,4327,40-50,416,I,7,F,599
2016,3,INVSTG,4327,40-50,416,I,7,M,3724
2016,3,INVSTG,4327,40-50,416,I,7,X,4
2016,3,INVSTG,4327,40-50,416,P,1,F,599
2016,3,INVSTG,4327,40-50,416,P,1,M,3724
2016,3,INVSTG,4327,40-50,416,P,1,X,4
2016,3,INVSTG,4327,40-50,416,WHT,50,F,599
2016,3,INVSTG,4327,40-50,416,WHT,50,M,3724
2016,3,INVSTG,4327,40-50,416,WHT,50,X,4
2016,3,INVSTG,4327,40-50,416,WWH,30,F,599
2016,3,INVSTG,4327,40-50,416,WWH,30,M,3724
2016,3,INVSTG,4327,40-50,416,WWH,30,X,4
2016,3,INVSTG,4327,50-60,298,API,33,F,599
2016,3,INVSTG,4327,50-60,298,API,33,M,3724
2016,3,INVSTG,4327,50-60,298,API,33,X,4
2016,3,INVSTG,4327,50-60,298,BLK,4206,F,599
2016,3,INVSTG,4327,50-60,298,BLK,4206,M,3724
2016,3,INVSTG,4327,50-60,298,BLK,4206,X,4
2016,3,INVSTG,4327,50-60,298,I,7,F,599
2016,3,INVSTG,4327,50-60,298,I,7,M,3724
2016,3,INVSTG,4327,50-60,298,I,7,X,4
2016,3,INVSTG,4327,50-60,298,P,1,F,599
2016,3,INVSTG,4327,50-60,298,P,1,M,3724
2016,3,INVSTG,4327,50-60,298,P,1,X,4
2016,3,INVSTG,4327,50-60,298,WHT,50,F,599
2016,3,INVSTG,4327,50-60,298,WHT,50,M,3724
2016,3,INVSTG,4327,50-60,298,WHT,50,X,4
2016,3,INVSTG,4327,50-60,298,WWH,30,F,599
2016,3,INVSTG,4327,50-60,298,WWH,30,M,3724
2016,3,INVSTG,4327,50-60,298,WWH,30,X,4
2016,3,INVSTG,4327,60 or older,78,API,33,F,599
2016,3,INVSTG,4327,60 or older,78,API,33,M,3724
2016,3,INVSTG,4327,60 or older,78,API,33,X,4
2016,3,INVSTG,4327,60 or older,78,BLK,4206,F,599
2016,3,INVSTG,4327,60 or older,78,BLK,4206,M,3724
2016,3,INVSTG,4327,60 or older,78,BLK,4206,X,4
2016,3,INVSTG,4327,60 or older,78,I,7,F,599
2016,3,INVSTG,4327,60 or older,78,I,7,M,3724
2016,3,INVSTG,4327,60 or older,78,I,7,X,4
2016,3,INVSTG,4327,60 or older,78,P,1,F,599
2016,3,INVSTG,4327,60 or older,78,P,1,M,3724
2016,3,INVSTG,4327,60 or older,78,P,1,X,4
2016,3,INVSTG,4327,60 or older,78,WHT,50,F,599
2016,3,INVSTG,4327,60 or older,78,WHT,50,M,3724
2016,3,INVSTG,4327,60 or older,78,WHT,50,X,4
2016,3,INVSTG,4327,60 or older,78,WWH,30,F,599
2016,3,INVSTG,4327,60 or older,78,WWH,30,M,3724
2016,3,INVSTG,4327,60 or older,78,WWH,30,X,4
